"TIME","GEO","DURATION","PURPOSE","DEST","TINFO","UNIT","Value","Flag and Footnotes"
"2008Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","9,172",""
"2009Q1","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","36,622",""
"2009Q1","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","17,762",""
"2009Q1","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q1","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q1","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","90,638",""
"2009Q1","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","27,808",""
"2009Q1","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","26,063",""
"2009Q1","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","16,123",""
"2009Q1","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","6,665",""
"2009Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","3,676",""
"2009Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q1","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","61,843",""
"2009Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","33,684",""
"2009Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2009Q2","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","48,587",""
"2009Q2","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","12,150",""
"2009Q2","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","6,720",""
"2009Q2","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q2","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","125,368",""
"2009Q2","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","28,745",""
"2009Q2","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","54,120",""
"2009Q2","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","44,874",""
"2009Q2","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","8,240",""
"2009Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2009Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q2","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","83,924",""
"2009Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","38,423",""
"2009Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","25,185",""
"2009Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","12,945",""
"2009Q3","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","109,608",""
"2009Q3","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","42,002",""
"2009Q3","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","7,837",""
"2009Q3","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q3","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","410,015",""
"2009Q3","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","114,210",""
"2009Q3","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","132,518",""
"2009Q3","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","104,208",""
"2009Q3","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro",":","u"
"2009Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2009Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":",""
"2009Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2009Q3","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","72,975",""
"2009Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","32,786",""
"2009Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2009Q4","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","37,387",""
"2009Q4","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","16,422",""
"2009Q4","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","3,606",""
"2009Q4","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q4","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","80,224",""
"2009Q4","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","24,537",""
"2009Q4","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","34,522",""
"2009Q4","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","28,971",""
"2009Q4","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","9,509",""
"2009Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","6,965",""
"2009Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2009Q4","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","48,548",""
"2009Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","24,306",""
"2009Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","7,832",""
"2009Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2010Q1","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","47,452",""
"2010Q1","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","23,196",""
"2010Q1","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2010Q1","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2010Q1","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","88,567",""
"2010Q1","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","33,190",""
"2010Q1","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","40,807",""
"2010Q1","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","29,671",""
"2010Q1","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","6,416",""
"2010Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2010Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2010Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2010Q1","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","76,663",""
"2010Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","29,337",""
"2010Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2010Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2010Q2","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","40,026",""
"2010Q2","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","14,768",""
"2010Q2","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2010Q2","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":",""
"2010Q2","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","130,484",""
"2010Q2","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","36,069",""
"2010Q2","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","44,127",""
"2010Q2","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","34,305",""
"2010Q2","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","7,894",""
"2010Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","5,541",""
"2010Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2010Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2010Q2","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","78,330",""
"2010Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","18,704",""
"2010Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","34,022",""
"2010Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2010Q3","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","83,907",""
"2010Q3","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","32,089",""
"2010Q3","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2010Q3","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2010Q3","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","379,011",""
"2010Q3","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","138,884",""
"2010Q3","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","111,270",""
"2010Q3","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","77,847",""
"2010Q3","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro",":","u"
"2010Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2010Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":",""
"2010Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2010Q3","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","103,186",""
"2010Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","53,366",""
"2010Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2010Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2010Q4","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","33,982",""
"2010Q4","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","19,607",""
"2010Q4","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2010Q4","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2010Q4","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","80,514",""
"2010Q4","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","21,857",""
"2010Q4","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","39,599",""
"2010Q4","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","31,493",""
"2010Q4","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","5,016",""
"2010Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","2,543",""
"2010Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2010Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro","0",""
"2010Q4","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","70,263",""
"2010Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","23,821",""
"2010Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2010Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2011Q1","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","39,912",""
"2011Q1","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","17,890",""
"2011Q1","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","5,940",""
"2011Q1","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2011Q1","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","69,453",""
"2011Q1","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","34,664",""
"2011Q1","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","18,635",""
"2011Q1","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro",":","u"
"2011Q1","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","6,019",""
"2011Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2011Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2011Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro","0",""
"2011Q1","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","53,124",""
"2011Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","20,538",""
"2011Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2011Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2011Q2","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","41,164",""
"2011Q2","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","15,258",""
"2011Q2","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2011Q2","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2011Q2","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","123,674",""
"2011Q2","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","30,376",""
"2011Q2","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","42,631",""
"2011Q2","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","32,352",""
"2011Q2","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","13,586",""
"2011Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","10,764",""
"2011Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro","0",""
"2011Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro","0",""
"2011Q2","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","53,566",""
"2011Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","19,922",""
"2011Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","19,147",""
"2011Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","10,472",""
"2011Q3","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","74,867",""
"2011Q3","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","29,217",""
"2011Q3","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","8,965",""
"2011Q3","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2011Q3","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","415,369",""
"2011Q3","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","132,150",""
"2011Q3","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","125,857",""
"2011Q3","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","85,884",""
"2011Q3","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro",":","u"
"2011Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2011Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2011Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":","u"
"2011Q3","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","56,827",""
"2011Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","20,589",""
"2011Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2011Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2011Q4","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","31,498",""
"2011Q4","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","18,679",""
"2011Q4","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","3,065",""
"2011Q4","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2011Q4","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","86,998",""
"2011Q4","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","24,658",""
"2011Q4","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","36,536",""
"2011Q4","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","31,329",""
"2011Q4","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","4,471",""
"2011Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2011Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro","0",""
"2011Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro","0",""
"2011Q4","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","44,253",""
"2011Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","22,347",""
"2011Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2011Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
